id,uid,receipt_id,filename,submit_date,firstname,lastname,organization
2690,37777,REF01,REF01-1559-logP-GAFF_tip3p_FORCE_BALANCE_sampl_mols-1.csv,post-deadline,Danielle,Bergazin,UCI
2691,37777,REF02,REF02-1559-logP-GAFF_tip3p_sampl_mols-2.csv,post-deadline,Danielle,Bergazin,UCI
2692,37777,REF03,REF03-1559-logP-GAFF_OPC_sampl_mols-3.csv,post-deadline,Danielle,Bergazin,UCI
2693,37777,REF04,REF04-1559-logP-SMIRNOFF_tip3p_FORCE_BALANCE_sampl_mols-4.csv,post-deadline,Danielle,Bergazin,UCI
2694,37777,REF05,REF05-1559-logP-SMIRNOFF_tip3p_sampl_mols-5.csv,post-deadline,Danielle,Bergazin,UCI
2695,37777,REF06,REF06-1559-logP-SMIRNOFF_OPC_sampl_mols-6.csv,post-deadline,Danielle,Bergazin,UCI
2696,37777,REF07,REF07-1559-logP-GAFF_tip3p_dryoct-7.csv,post-deadline,Danielle,Bergazin,UCI
2697,37777,REF08,REF08-1559-logP-SMIRNOFF_tip3p_dryoct-8.csv,post-deadline,Danielle,Bergazin,UCI
2698,38888,REF09,REF09-1559-logP-prediction_clogP54-1.csv,post-deadline,Thomas,Fox,Boehringer Ingelheim
2699,38888,REF10,REF10-1559-logP-prediction_hlogP-1.csv,post-deadline,Thomas,Fox,Boehringer Ingelheim
2700,38888,REF11,REF11-1559-logP-prediction_logPow-1.csv,post-deadline,Thomas,Fox,Boehringer Ingelheim
2701,38888,REF12,REF12-1559-logP-prediction_moka322logP-1.csv,post-deadline,Thomas,Fox,Boehringer Ingelheim
2702,38888,REF13,REF13-1559-logP-prediction_SlogP-1.csv,post-deadline,Thomas,Fox,Boehringer Ingelheim
